Step,x-coordinate,y-coordinate,Actions
825, 7, 28, LF
826, 8, 28, RF
827, 8, 27, F
828, 8, 26, F
829, 8, 25, RRF
830, 8, 26, LF
831, 7, 26, LF
832, 7, 25, F
833, 7, 24, LF
834, 8, 24, RRF
835, 7, 24, LF
836, 7, 23, LF
837, 8, 23, F
838, 9, 23, RF
839, 9, 22, LF
840, 10, 22, F
841, 11, 22, LF
842, 11, 23, F
843, 11, 24, F
844, 11, 25, F
845, 11, 26, LF
846, 10, 26, LF
847, 10, 25, F
848, 10, 24, F
849, 10, 23, RRF
850, 10, 24, LF
851, 9, 24, RF
852, 9, 25, F
853, 9, 26, RRF
854, 9, 25, F
855, 9, 24, LF
856, 10, 24, LF
857, 10, 25, F
858, 10, 26, RF
859, 11, 26, LF
860, 11, 27, LF
861, 10, 27, F
862, 9, 27, RRF
863, 10, 27, F
864, 11, 27, F
865, 12, 27, LF
866, 12, 28, LF
867, 11, 28, F
868, 10, 28, RRF
869, 11, 28, LF
870, 11, 29, RF
871, 12, 29, LF
872, 12, 30, LF
873, 11, 30, RRF
874, 12, 30, RF
875, 12, 29, RF
876, 11, 29, LF
877, 11, 28, LF
878, 12, 28, RF
879, 12, 27, RF
880, 11, 27, LF
881, 11, 26, LF
882, 12, 26, RRF
883, 11, 26, LF
884, 11, 25, LF
885, 12, 25, RRF
886, 11, 25, LF
887, 11, 24, LF
888, 12, 24, F
889, 13, 24, LF
890, 13, 25, RRF
891, 13, 24, LF
892, 14, 24, F
893, 15, 24, RRF
894, 14, 24, LF
895, 14, 23, F
896, 14, 22, F
897, 14, 21, RRF
898, 14, 22, F
899, 14, 23, LF
900, 13, 23, LF
901, 13, 22, RRF
902, 13, 23, RF
903, 14, 23, LF
904, 14, 24, LF
905, 13, 24, F
906, 12, 24, F
907, 11, 24, LF
908, 11, 23, LF
909, 12, 23, RRF
910, 11, 23, LF
911, 11, 22, RF
912, 10, 22, F
913, 9, 22, LF
914, 9, 21, F
915, 9, 20, F
916, 9, 19, LF
917, 10, 19, LF
918, 10, 20, F
919, 10, 21, RF
920, 11, 21, F
921, 12, 21, LF
922, 12, 22, RRF
923, 12, 21, RF
924, 11, 21, F
925, 10, 21, LF
926, 10, 20, LF
927, 11, 20, RRF
928, 10, 20, LF
929, 10, 19, LF
930, 11, 19, F
931, 12, 19, LF
932, 12, 20, RRF
933, 12, 19, LF
934, 13, 19, LF
935, 13, 20, F
936, 13, 21, RRF
937, 13, 20, F
938, 13, 19, LF
939, 14, 19, RF
940, 14, 18, LF
941, 15, 18, F
942, 16, 18, F
943, 17, 18, LF
944, 17, 19, LF
945, 16, 19, RF
946, 16, 20, RF
947, 17, 20, RRF
948, 16, 20, LF
949, 16, 19, LF
950, 17, 19, F
951, 18, 19, RRF
952, 17, 19, LF
953, 17, 18, RF
954, 16, 18, F
955, 15, 18, LF
956, 15, 17, RRF
957, 15, 18, LF
958, 14, 18, LF
959, 14, 17, RRF
960, 14, 18, F
961, 14, 19, LF
962, 13, 19, LF
963, 13, 18, RF
964, 12, 18, F
965, 11, 18, LF
966, 11, 17, LF
967, 12, 17, F
968, 13, 17, RF
969, 13, 16, LF
970, 14, 16, RRF
971, 13, 16, F
972, 12, 16, LF
973, 12, 15, RRF
974, 12, 16, RF
975, 13, 16, LF
976, 13, 17, LF
977, 12, 17, F
978, 11, 17, LF
979, 11, 16, F
980, 11, 15, RF
981, 10, 15, RRF
982, 11, 15, LF
983, 11, 16, LF
984, 10, 16, RRF
985, 11, 16, LF
986, 11, 17, LF
987, 10, 17, RF
988, 10, 18, RRF
989, 10, 17, LF
990, 11, 17, LF
991, 11, 18, RF
992, 12, 18, F
993, 13, 18, LF
994, 13, 19, LF
995, 12, 19, F
996, 11, 19, F
997, 10, 19, F
998, 9, 19, LF
999, 9, 18, F
1000, 9, 17, RRF
1001, 9, 18, LF
1002, 8, 18, LF
1003, 8, 17, F
1004, 8, 16, RRF
1005, 8, 17, F
1006, 8, 18, RF
1007, 9, 18, LF
1008, 9, 19, LF
1009, 8, 19, RRF
1010, 9, 19, LF
1011, 9, 20, LF
1012, 8, 20, F
1013, 7, 20, F
1014, 6, 20, F
1015, 5, 20, F
1016, 4, 20, RRF
1017, 5, 20, F
1018, 6, 20, F
1019, 7, 20, F
